model,test_accuracy,train_precision,test_precision,train_accuracy,train_f1,test_recall,test_f1,train_recall,target_column,max_iter,l1_ratio,C,polynomial_degree,n_estimators,colsample_bytree,learning_rate,reg_alpha,max_depth,reg_lambda,subsample
Logistic Regression,0.6309904153354633,0.5902255894820404,0.455489968307121,0.6352154161050372,0.5189015075739534,0.6309904153354633,0.5155387066041326,0.6352154161050372,Ship Mode,500,0.3,0.01,1,,,,,,,
XGBoost Classifier,0.5692891373801917,0.5616248656230552,0.5557709880678372,0.6216863861015426,0.5655626777707157,0.5692891373801917,0.556493589641845,0.6216863861015426,Ship Mode,,,,,400,1.0,0.1,1,6,1,1.0
XGBoost Binary Classifier,0.7154552715654952,0.7116893953226432,0.7136616816169485,0.7140432329888673,0.7124830756480487,0.7154552715654952,0.7142973092948766,0.7140432329888673,Ship Mode,,,,,400,1.0,0.1,1,6,1,1.0
