,0
Region_Central Asia,12107.25
Sub-Category_Phones,12915.400390625
Sub-Category_Tables,13318.75
Sub-Category_Paper,14181.4208984375
Region_North Asia,14685.400390625
Sub-Category_Storage,15143.521484375
Market_Africa,15732.5712890625
Sub-Category_Copiers,16207.5556640625
Region_Caribbean,16850.333984375
Sub-Category_Chairs,17050.076171875
Ship Mode_First Class,17163.625
Order Day Of Week,17309.0
Sub-Category_Art,17309.0
Sub-Category_Envelopes,17309.0
Sub-Category_Labels,17309.0
