model,train_mse,train_r2,test_mse,train_mae,train_rmse,test_r2,test_rmse,test_mae,target_column,max_bins,learning_rate,interactions,l1_ratio,alpha,polynomial_degree,n_estimators,colsample_bytree,reg_alpha,max_depth,reg_lambda,subsample
Explainable Boosting Machine,11046.788356268338,0.6956494641988047,12165.6477982889,36.871869964308246,105.10370286658951,0.5848273206609401,110.29799544093673,38.015702574434364,Profit,512,0.03,3,,,,,,,,,
ElasticNet Regression,796.0096870375847,0.7378782644118063,994.5880193612331,15.663107299861016,28.21364363278137,0.7276950855312512,31.537089582921777,16.453243297892524,Profit,,,,0.5,0.5,2,,,,,,
XGBoost Regression,657.8602313633263,0.7833701418117744,840.1367059508043,14.598947466823484,25.64878615769811,0.7699817920560533,28.98511179814224,15.781831432776096,Profit,,0.1,,,,,400,1.0,1,3,5,1.0
